trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-515.54175,89.37509,-426.16663,-604.9168,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,16.554651260375977,0.19259226,-1853.2247
-281.085,2.4493713,-278.63562,-283.53436,201.0,-466.7168,121.624565,-326.36566,-632.9149,201.0,20904,0.0,0.0,36.57677125930786,0.17626853,-1853.2247
-311.81424,67.41511,-244.39912,-379.22934,201.0,-312.48322,22.903955,-273.82904,-333.67676,201.0,21708,0.0,0.0,56.98805284500122,0.17214169,-1853.2247
-361.94678,79.21353,-282.73325,-441.1603,201.0,-297.09924,27.458656,-275.46936,-344.24307,201.0,22512,0.0,0.0,75.89282464981079,0.15881218,-1853.2247
-283.79907,10.267715,-273.53137,-294.0668,201.0,-288.02798,24.570127,-267.80548,-330.03494,201.0,23316,0.0,0.0,95.62024211883545,0.16421317,-1853.2247
-380.84204,65.543045,-315.29898,-446.38507,201.0,-343.31915,112.05128,-266.22668,-536.54114,201.0,24120,0.0,0.0,114.95023894309998,0.1609397,-1853.2247
-316.08026,28.133636,-287.94662,-344.2139,201.0,-336.5397,22.796167,-311.2376,-368.87256,201.0,24924,0.0,0.0,134.3293387889862,0.17300503,-1853.2247
-346.85706,50.971436,-295.88562,-397.8285,201.0,-331.75287,85.201706,-259.11014,-474.6891,201.0,25728,0.0,0.0,153.46041750907898,0.15639062,-1853.2247
-282.54468,21.204208,-261.34048,-303.7489,201.0,-274.1107,6.3429494,-263.39282,-279.53177,201.0,26532,0.0,0.0,172.26642060279846,0.15605345,-1853.2247
-263.778,3.9216003,-259.8564,-267.69962,201.0,-266.02817,16.332344,-253.11299,-293.15186,201.0,27336,0.0,0.0,191.38776993751526,0.15165408,-1853.2247
-265.1172,13.284447,-251.83275,-278.40164,201.0,-285.94037,28.10311,-258.04034,-332.7878,201.0,28140,0.0,0.0,210.4464509487152,0.14898509,-1853.2247
-390.682,68.5939,-322.0881,-459.2759,201.0,-276.5361,17.878092,-262.03174,-306.16693,201.0,28944,0.0,0.0,229.9944086074829,0.15781856,-1853.2247
-295.84357,2.587387,-293.25616,-298.43094,201.0,-279.16544,15.151563,-259.2978,-301.87506,201.0,29748,0.0,0.0,249.3803186416626,0.14508533,-1853.2247
-260.27118,3.1547241,-257.11646,-263.4259,201.0,-258.03967,20.342457,-239.54114,-290.30972,201.0,30552,0.0,0.0,268.96756982803345,0.14433806,-1853.2247
-323.44516,46.80197,-276.6432,-370.24713,201.0,-284.38718,20.353516,-249.41736,-300.24976,201.0,31356,0.0,0.0,288.8411738872528,0.13791429,-1853.2247
