trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-45.713634,37.225903,-17.708662,-120.349396,42.2,-172.54713,30.06939,-95.266685,-217.97687,101.0,5050,0.0,0.0,16.729185342788696,0.31915644,-172.54713
-50.268787,28.781612,-7.465476,-82.48527,47.666666666666664,-41.36047,40.637814,-8.619207,-185.1882,37.592592592592595,6065,0.0,0.0,60.2131404876709,0.35426608,-172.54713
-25.247082,15.624509,-10.993292,-69.60824,27.866666666666667,-31.476343,22.35509,-10.477608,-115.63098,32.45161290322581,7071,0.0,0.0,103.87850332260132,0.38673484,-172.54713
-28.682484,14.341898,-12.369427,-67.64104,28.133333333333333,-48.133423,39.267715,-7.6558666,-129.698,42.583333333333336,8093,0.0,0.0,147.9052929878235,0.40198073,-172.54713
-40.987392,27.55609,-10.322471,-90.83143,39.5,-35.25738,35.01677,-8.830537,-186.60306,32.72727272727273,9173,0.0,0.0,195.23145604133606,0.41203216,-172.54713
