trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-403.85855,14.080536,-389.778,-417.9391,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,58.52512526512146,0.19133979,-1853.2247
-252.67355,0.9979019,-251.67564,-253.67145,201.0,-450.1983,60.656338,-407.4433,-554.595,201.0,20904,0.0,0.0,172.69609093666077,0.1792145,-1853.2247
-239.73975,4.445259,-235.29448,-244.185,201.0,-263.50128,12.497194,-248.83499,-282.55127,201.0,21708,0.0,0.0,291.99910593032837,0.17221168,-1853.2247
-272.2417,11.422379,-260.8193,-283.66406,201.0,-303.211,11.033047,-292.09952,-316.78162,201.0,22512,0.0,0.0,428.9120671749115,0.1662513,-1853.2247
-287.23373,9.664459,-277.56927,-296.8982,201.0,-258.6201,15.57312,-233.66702,-273.8266,201.0,23316,0.0,0.0,548.7135925292969,0.16231707,-1853.2247
-253.88469,0.7812958,-253.1034,-254.66599,201.0,-262.46365,12.471193,-248.2203,-279.9587,201.0,24120,0.0,0.0,660.5129477977753,0.15927811,-1853.2247
-263.80756,3.540863,-260.2667,-267.34842,201.0,-254.97754,4.3604836,-247.71692,-258.45273,201.0,24924,0.0,0.0,771.2837598323822,0.15955353,-1853.2247
-256.3709,21.490211,-234.88069,-277.8611,201.0,-275.40164,17.302383,-248.97096,-291.71423,201.0,25728,0.0,0.0,887.6503643989563,0.1570022,-1853.2247
-286.4301,9.432465,-276.99765,-295.86258,201.0,-256.9256,14.617045,-243.16289,-281.03918,201.0,26532,0.0,0.0,1008.9212472438812,0.15425555,-1853.2247
-274.72433,8.436096,-266.28824,-283.16043,201.0,-245.14429,8.775741,-235.09366,-257.12717,201.0,27336,0.0,0.0,1129.8035516738892,0.15285875,-1853.2247
-261.2889,11.384178,-249.90474,-272.6731,201.0,-262.08612,4.2872205,-255.52962,-266.2932,201.0,28140,0.0,0.0,1244.992075920105,0.1504626,-1853.2247
-282.5034,3.8718872,-278.6315,-286.37527,201.0,-262.4485,12.135838,-246.8058,-280.86816,201.0,28944,0.0,0.0,1380.7484674453735,0.15481432,-1853.2247
-276.53305,4.460663,-272.0724,-280.9937,201.0,-258.42563,8.045669,-248.65233,-271.04858,201.0,29748,0.0,0.0,1500.3041353225708,0.14809978,-1853.2247
-250.63986,12.717598,-237.92226,-263.35745,201.0,-253.20981,24.8798,-224.31885,-289.98297,201.0,30552,0.0,0.0,1621.3893599510193,0.14160022,-1853.2247
-258.38312,3.2130127,-255.1701,-261.59613,201.0,-264.22772,16.883713,-243.4427,-288.1039,201.0,31356,0.0,0.0,1734.7413008213043,0.1449067,-1853.2247
