trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-467.68823,22.115067,-445.57318,-489.8033,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,55.66071033477783,0.19208187,-1853.2247
-382.87427,35.42163,-347.45264,-418.2959,201.0,-512.3676,60.188858,-454.22403,-608.7297,201.0,20904,0.0,0.0,175.8604781627655,0.19111806,-1853.2247
-396.21024,7.237213,-388.97302,-403.44745,201.0,-453.32086,44.395325,-376.72894,-484.17505,201.0,21708,0.0,0.0,293.90111470222473,0.17343707,-1853.2247
-332.66986,11.370041,-321.2998,-344.0399,201.0,-361.29663,8.483592,-347.6474,-370.88525,201.0,22512,0.0,0.0,418.0830762386322,0.1802517,-1853.2247
-358.89706,12.579559,-346.3175,-371.47662,201.0,-346.0736,15.458917,-329.74603,-369.42065,201.0,23316,0.0,0.0,536.3338186740875,0.16708715,-1853.2247
-372.84064,25.23851,-347.60214,-398.07916,201.0,-383.86346,37.863117,-348.58768,-446.7358,201.0,24120,0.0,0.0,661.9812335968018,0.16010901,-1853.2247
-350.625,15.116653,-335.50833,-365.74164,201.0,-364.02728,24.144981,-328.57938,-395.0866,201.0,24924,0.0,0.0,780.929251909256,0.15992977,-1853.2247
-395.26038,12.711304,-382.54907,-407.97168,201.0,-343.01703,11.898995,-325.44504,-355.90652,201.0,25728,0.0,0.0,906.0492649078369,0.1597441,-1853.2247
-318.64157,23.372955,-295.26862,-342.01453,201.0,-340.79922,21.526266,-305.71924,-360.4819,201.0,26532,0.0,0.0,1028.1756126880646,0.15746729,-1853.2247
-343.50272,33.71115,-309.79156,-377.21387,201.0,-356.43292,17.01357,-340.11792,-382.4307,201.0,27336,0.0,0.0,1150.2334163188934,0.15495096,-1853.2247
-336.4583,11.565109,-324.8932,-348.0234,201.0,-345.17654,13.047448,-326.9315,-363.81726,201.0,28140,0.0,0.0,1273.1754941940308,0.14995544,-1853.2247
-317.91608,0.28529358,-317.63077,-318.20135,201.0,-321.9889,4.4566927,-316.7881,-329.0342,201.0,28944,0.0,0.0,1397.9262282848358,0.15020674,-1853.2247
-344.47522,25.591354,-318.88388,-370.0666,201.0,-358.9857,14.389201,-340.34567,-376.1913,201.0,29748,0.0,0.0,1524.2841796875,0.1477397,-1853.2247
-325.753,15.780457,-309.97253,-341.53345,201.0,-346.78247,25.903648,-324.45105,-388.76794,201.0,30552,0.0,0.0,1650.4331126213074,0.15280403,-1853.2247
-341.57443,5.0363464,-336.5381,-346.61078,201.0,-367.9632,42.99391,-314.68378,-413.27548,201.0,31356,0.0,0.0,1774.8591663837433,0.14773238,-1853.2247
