trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
2.886879,0.0,2.886879,2.886879,501.0,-2426.4355,418.34644,-1418.4021,-3312.8218,501.0,20040,0.0,0.0,38.660016775131226,0.11597764,-2426.4355
55.24642,0.0,55.24642,55.24642,501.0,0.9760256,24.390326,44.669884,-48.53735,501.0,28056,0.0,0.0,309.8206248283386,0.09220309,-2426.4355
115.09007,0.0,115.09007,115.09007,501.0,47.857567,31.276337,121.97579,-4.3602486,501.0,36072,0.0,0.0,582.61337018013,0.090698265,-2426.4355
105.35996,0.0,105.35996,105.35996,501.0,89.50211,24.63295,137.40518,41.767887,501.0,44088,0.0,0.0,851.9000251293182,0.10002309,-2426.4355
103.06431,0.0,103.06431,103.06431,501.0,111.4469,33.311207,175.06606,46.697266,501.0,52104,0.0,0.0,1131.268969297409,0.108961135,-2426.4355
