trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-38.450413,0.0,-38.450413,-38.450413,501.0,-2426.4355,418.34644,-1418.4021,-3312.8218,501.0,20040,0.0,0.0,26.01622700691223,0.16503173,-2426.4355
-40.728157,0.0,-40.728157,-40.728157,501.0,-56.23606,44.54275,2.4634695,-145.95381,501.0,28056,0.0,0.0,193.83951616287231,0.13625495,-2426.4355
-99.41151,0.0,-99.41151,-99.41151,501.0,-54.24303,36.65293,7.483141,-144.886,501.0,36072,0.0,0.0,366.60478496551514,0.12477069,-2426.4355
-97.096115,0.0,-97.096115,-97.096115,501.0,-55.19187,35.377945,17.168522,-114.92511,501.0,44088,0.0,0.0,539.6613614559174,0.12545612,-2426.4355
-33.893276,0.0,-33.893276,-33.893276,501.0,-64.964355,33.529327,-25.541508,-152.77571,501.0,52104,0.0,0.0,723.4718770980835,0.121224046,-2426.4355
