trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
201.19934,0.0,201.19934,201.19934,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,165.42067313194275,0.073367916,-2423.5024
546.2735,0.0,546.2735,546.2735,501.0,200.089,19.292532,225.14337,167.96667,501.0,10020,0.0,0.0,1776.3757202625275,0.10307649,-2423.5024
717.2655,0.0,717.2655,717.2655,501.0,522.50006,17.98509,540.10284,485.851,501.0,15030,0.0,0.0,3373.2596175670624,0.11170259,-2423.5024
860.7373,0.0,860.7373,860.7373,501.0,789.87646,27.015902,828.7512,743.23047,501.0,20040,0.0,0.0,5016.551036596298,0.10888436,-2423.5024
788.3613,0.0,788.3613,788.3613,501.0,828.134,36.96683,887.56714,769.31244,501.0,25050,0.0,0.0,6607.051630973816,0.110259175,-2423.5024
