trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-417.1734,15.110046,-402.06335,-432.28345,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,37.3564190864563,0.19208187,-1853.2247
-326.8134,8.0961,-318.7173,-334.9095,201.0,-421.79175,19.994404,-387.33026,-435.1929,201.0,20904,0.0,0.0,103.34293699264526,0.1827813,-1853.2247
-296.56235,2.3475952,-294.21475,-298.90994,201.0,-366.3072,28.435602,-330.39185,-400.95352,201.0,21708,0.0,0.0,171.88284349441528,0.17424627,-1853.2247
-278.20596,13.799713,-264.40625,-292.00568,201.0,-301.52057,16.488182,-276.83426,-321.7719,201.0,22512,0.0,0.0,239.7197494506836,0.17097948,-1853.2247
-303.9497,7.5335236,-296.4162,-311.48325,201.0,-266.25467,8.936715,-254.6236,-278.52112,201.0,23316,0.0,0.0,308.5555067062378,0.16428764,-1853.2247
-275.86945,15.300079,-260.56937,-291.16953,201.0,-288.82504,11.343836,-270.57318,-299.5381,201.0,24120,0.0,0.0,375.8980174064636,0.16408041,-1853.2247
-291.00195,8.209625,-282.79233,-299.21158,201.0,-276.80676,10.226533,-264.9832,-292.35434,201.0,24924,0.0,0.0,441.2925968170166,0.1574794,-1853.2247
-272.00293,7.894638,-264.1083,-279.89758,201.0,-312.46225,29.174654,-284.15906,-359.4049,201.0,25728,0.0,0.0,508.9078481197357,0.15596992,-1853.2247
-272.47134,3.108612,-269.36273,-275.57996,201.0,-278.24615,15.724181,-262.54764,-301.8195,201.0,26532,0.0,0.0,574.8209958076477,0.15509419,-1853.2247
-268.17776,10.180237,-257.99753,-278.358,201.0,-289.94403,26.967371,-253.10603,-323.24023,201.0,27336,0.0,0.0,641.6186420917511,0.15393724,-1853.2247
-302.21698,1.3813934,-300.83557,-303.59836,201.0,-272.67728,9.324883,-260.283,-285.32535,201.0,28140,0.0,0.0,706.433739900589,0.14983736,-1853.2247
-282.97845,4.1385803,-278.83987,-287.11703,201.0,-275.79877,16.121162,-254.62285,-297.4419,201.0,28944,0.0,0.0,772.2698311805725,0.14940293,-1853.2247
-291.4486,2.4969025,-288.95172,-293.94553,201.0,-284.01434,10.93974,-272.30014,-301.42084,201.0,29748,0.0,0.0,838.3196153640747,0.14446224,-1853.2247
-296.5454,7.0776825,-289.46774,-303.6231,201.0,-277.5042,10.672753,-261.75128,-288.97638,201.0,30552,0.0,0.0,906.3251042366028,0.14161666,-1853.2247
-273.7791,24.669418,-249.10968,-298.44852,201.0,-276.45572,14.569232,-261.4319,-294.03384,201.0,31356,0.0,0.0,972.3497412204742,0.14519013,-1853.2247
